a,b,output
73,83,59
89,10,2
10,89,2
88,28,19
70,15,85
34,21,55
55,52,10
36,2,38
26,94,23
96,13,12
82,40,25
11,61,72
73,78,54
88,71,62
73,17,90
8,81,89
66,36,5
47,72,22
58,89,50
51,58,12
94,79,76
82,81,66
37,0,37
44,52,96
52,12,64
23,86,12
62,31,93
17,46,63
13,2,15
85,11,96
95,23,21
88,79,70
14,34,48
60,29,89
58,83,44
34,77,14
13,28,41
90,20,13
57,85,45
33,94,30
74,59,36
29,56,85
63,85,51
91,14,8
78,60,41
66,90,59
25,36,61
14,17,31
47,39,86
45,54,2
53,29,82
52,9,61
83,57,43
55,39,94
90,11,4
79,39,21
65,11,76
71,62,36
27,78,8
70,85,58
27,4,31
52,14,66
73,90,66
61,84,48
64,69,36
13,91,7
53,44,0
79,60,42
36,12,48
22,79,4
54,9,63
80,5,85
91,13,7
66,94,63
39,32,71
60,83,46
89,74,66
32,79,14
83,38,24
6,11,17
61,71,35
9,87,96
74,83,60
58,61,22
90,12,5
70,57,30
90,81,74
56,31,87
95,45,43
20,91,14
89,80,72
17,35,52
26,71,0
61,78,42
30,17,47
47,57,7
27,62,89
50,16,66
34,63,0
28,82,13
60,57,20
66,20,86
88,37,28
48,87,38
62,18,80
80,63,46
52,74,29
1,93,94
50,84,37
62,17,79
78,15,93
43,78,24
63,88,54
40,42,82
51,17,68
72,22,94
50,40,90
55,43,1
3,5,8
86,55,44
21,13,34
86,59,48
49,17,66
14,31,45
36,43,79
87,52,42
88,91,82
9,38,47
1,64,65
20,53,73
31,6,37
83,22,8
39,52,91
18,56,74
1,32,33
47,32,79
29,32,61
75,15,90
14,45,59
64,88,55
29,5,34
34,47,81
91,58,52
17,96,16
50,19,69
8,18,26
21,26,47
29,49,78
90,76,69
10,51,61
1,92,93
88,43,34
36,25,61
38,29,67
67,67,37
51,85,39
96,44,43
2,15,17
26,32,58
49,26,75
54,36,90
27,8,35
84,52,39
32,56,88
1,48,49
60,32,92
51,71,25
25,16,41
17,94,14
77,93,73
80,6,86
63,64,30
85,74,62
62,59,24
21,53,74
81,83,67
42,66,11
19,20,39
23,41,64
7,34,41
69,19,88
10,25,35
89,34,26
60,33,93
83,41,27
91,33,27
28,7,35
90,92,85
1,10,11
33,40,73
76,65,44
93,4,0
32,69,4
8,75,83
25,57,82
95,87,85
27,81,11
93,96,92
57,73,33
20,18,38
47,49,96
12,79,91
5,77,82
74,54,31
86,73,62
45,21,66
47,45,92
66,8,74
53,28,81
81,5,86
83,93,79
96,15,14
89,20,12
28,46,74
24,79,6
84,72,59
45,43,88
36,55,91
82,69,54
38,16,54
74,78,55
52,89,44
91,12,6
16,73,89
30,29,59
7,49,56
94,78,75
7,82,89
52,85,40
2,74,76
6,84,90
73,82,58
57,42,2
86,5,91
13,87,3
36,29,65
34,92,29
92,6,1
94,81,78
78,10,88
25,51,76
21,38,59
49,42,91
83,49,35
38,91,32
24,39,63
78,43,24
21,11,32
13,76,89
54,42,96
29,52,81
7,56,63
10,62,72
15,82,0
82,49,34
45,82,30
71,64,38
87,36,26
52,0,52
36,70,9
67,28,95
77,6,83
44,24,68
37,65,5
9,60,69
70,3,73
72,51,26
67,77,47
45,16,61
48,56,7
54,37,91
61,17,78
74,23,0
70,66,39
40,46,86
42,74,19
9,11,20
27,69,96
7,12,19
24,20,44
24,3,27
34,8,42
53,61,17
42,78,23
82,28,13
62,90,55
58,86,47
84,79,66
83,77,63
12,0,12
25,68,93
85,66,54
33,78,14
80,36,19
83,2,85
66,95,64
15,96,14
82,95,80
50,1,51
79,56,38
24,55,79
10,40,50
12,80,92
59,94,56
78,66,47
43,87,33
0,10,10
21,35,56
55,0,55
34,36,70
75,78,56
87,15,5
43,2,45
25,59,84
53,77,33
87,3,90
64,16,80
65,49,17
34,17,51
12,70,82
79,45,27
86,47,36
46,20,66
16,35,51
72,10,82
82,2,84
59,42,4
32,75,10
73,51,27
76,45,24
43,26,69
18,41,59
26,79,8
93,74,70
67,86,56
1,16,17
92,53,48
88,63,54
18,36,54
28,3,31
66,53,22
58,50,11
68,41,12
92,22,17
20,71,91
5,76,81
35,53,88
93,82,78
61,5,66
56,49,8
79,54,36
84,38,25
46,76,25
65,81,49
93,78,74
32,62,94
67,81,51
25,87,15
46,14,60
79,88,70
94,34,31
77,47,27
91,82,76
95,38,36
60,11,71
50,58,11
70,40,13
30,30,60
41,79,23
87,81,71
57,83,43
66,0,66
90,60,53
1,69,70
71,55,29
74,87,64
19,82,4
88,21,12
63,70,36
45,34,79
36,54,90
49,15,64
42,76,21
87,14,4
70,83,56
13,40,53
90,89,82
70,14,84
47,30,77
4,31,35
14,72,86
28,5,33
0,60,60
47,36,83
33,35,68
19,23,42
55,81,39
58,12,70
45,40,85
59,50,12
83,13,96
56,65,24
96,68,67
32,64,96
0,85,85
37,36,73
41,82,26
65,37,5
51,29,80
88,25,16
38,90,31
45,5,50
0,39,39
48,72,23
15,37,52
78,39,20
8,43,51
9,64,73
20,27,47
36,0,36
22,90,15
72,20,92
31,5,36
69,70,42
73,88,64
20,9,29
86,88,77
65,50,18
13,3,16
45,28,73
40,7,47
42,12,54
18,27,45
75,55,33
91,0,91
6,17,23
21,16,37
1,61,62
24,61,85
21,91,15
79,81,63
37,62,2
85,15,3
15,72,87
57,13,70
67,46,16
88,3,91
16,41,57
16,75,91
35,77,15
91,19,13
62,44,9
62,0,62
78,50,31
40,0,40
43,64,10
38,54,92
90,43,36
73,66,42
90,38,31
34,76,13
15,23,38
9,24,33
21,68,89
4,32,36
6,28,34
80,57,40
57,82,42
38,67,8
27,61,88
35,54,89
38,58,96
86,95,84
36,30,66
51,25,76
4,88,92
27,70,0
90,37,30
28,36,64
76,46,25
2,13,15
30,1,31
2,83,85
64,15,79
36,33,69
1,57,58
79,66,48
84,2,86
50,73,26
77,53,33
88,51,42
75,8,83
60,80,43
46,84,33
74,58,35
67,41,11
13,6,19
13,95,11
9,49,58
8,39,47
4,76,80
49,33,82
58,80,41
39,55,94
56,66,25
56,84,43
0,80,80
8,53,61
14,36,50
72,68,43
4,38,42
33,38,71
78,0,78
83,39,25
3,2,5
67,34,4
71,67,41
60,25,85
32,30,62
46,71,20
61,77,41
40,69,12
8,57,65
50,35,85
92,80,75
56,42,1
52,50,5
60,78,41
22,4,26
3,27,30
10,45,55
61,32,93
12,90,5
14,66,80
86,15,4
81,7,88
91,5,96
58,13,71
53,36,89
29,25,54
36,80,19
54,70,27
54,77,34
47,93,43
85,84,72
36,56,92
24,34,58
42,15,57
26,52,78
37,48,85
91,38,32
81,74,58
74,35,12
53,95,51
31,16,47
91,52,46
80,24,7
94,32,29
52,64,19
14,71,85
54,3,57
9,78,87
77,72,52
3,23,26
59,12,71
73,64,40
52,2,54
50,36,86
26,2,28
52,72,27
8,47,55
15,67,82
88,35,26
57,27,84
55,24,79
22,22,44
87,35,25
22,57,79
25,85,13
95,42,40
40,47,87
79,62,44
52,39,91
47,47,94
13,94,10
19,45,64
28,1,29
90,57,50
75,9,84
42,46,88
7,21,28
17,21,38
47,76,26
21,44,65
85,92,80
44,60,7
29,64,93
49,28,77
37,38,75
81,93,77
68,39,10
42,20,62
69,30,2
50,79,32
87,38,28
18,33,51
79,80,62
57,30,87
82,74,59
51,6,57
53,58,14
59,51,13
31,88,22
3,92,95
39,94,36
86,30,19
28,33,61
72,47,22
67,94,64
10,47,57
29,91,23
5,90,95
77,35,15
86,22,11
3,71,74
88,66,57
83,21,7
46,63,12
78,74,55
37,22,59
30,63,93
69,36,8
88,34,25
7,3,10
4,52,56
7,72,79
0,21,21
45,89,37
30,89,22
90,31,24
35,96,34
12,45,57
57,86,46
85,83,71
54,11,65
30,95,28
49,25,74
89,62,54
79,71,53
92,1,93
26,84,13
17,44,61
30,50,80
91,24,18
31,50,81
41,6,47
7,32,39
85,76,64
55,57,15
31,26,57
27,86,16
45,4,49
26,21,47
26,73,2
44,8,52
16,46,62
81,43,27
8,84,92
71,38,12
32,96,31
96,60,59
58,8,66
25,64,89
66,81,50
55,31,86
61,89,53
58,49,10
96,83,82
28,32,60
4,26,30
37,19,56
23,35,58
69,11,80
91,25,19
47,50,0
38,50,88
90,13,6
33,26,59
31,3,34
70,11,81
11,68,79
64,67,34
79,68,50
69,80,52
44,40,84
40,87,30
20,77,0
51,31,82
81,78,62
67,44,14
18,44,62
94,50,47
13,73,86
28,61,89
23,2,25
42,91,36
27,48,75
70,78,51
86,96,85
58,95,56
21,49,70
92,73,68
42,30,72
20,73,93
51,32,83
53,43,96
91,95,89
94,16,13
20,83,6
25,32,57
34,66,3
69,21,90
27,21,48
15,60,75
14,73,87
79,2,81
32,90,25
40,45,85
92,38,33
39,67,9
82,67,52
0,12,12
5,85,90
27,54,81
80,82,65
92,76,71
52,80,35
56,2,58
74,76,53
96,24,23
18,51,69
84,28,15
38,0,38
47,55,5
0,69,69
57,69,29
14,24,38
46,18,64
18,80,1
35,62,0
19,56,75
88,93,84
32,10,42
63,83,49
21,90,14
1,83,84
75,58,36
52,83,38
47,33,80
69,74,46
84,1,85
61,9,70
10,11,21
11,92,6
18,79,0
36,94,33
38,48,86
52,59,14
21,85,9
76,62,41
67,93,63
0,19,19
20,69,89
50,78,31
63,69,35
30,28,58
77,50,30
22,36,58
37,94,34
61,58,22
49,73,25
28,50,78
62,64,29
10,38,48
21,89,13
68,23,91
31,43,74
36,57,93
46,3,49
27,10,37
74,71,48
39,63,5
66,5,71
50,32,82
7,29,36
78,73,54
37,51,88
14,76,90
9,61,70
59,63,25
35,74,12
25,19,44
24,42,66
82,92,77
71,2,73
74,1,75
86,71,60
22,27,49
66,82,51
31,30,61
48,89,40
49,67,19
65,7,72
26,33,59
46,56,5
69,34,6
77,23,3
18,45,63
13,52,65
17,15,32
53,27,80
22,74,96
14,93,10
82,83,68
50,38,88
18,16,34
46,55,4
68,53,24
19,13,32
42,42,84
8,44,52
32,73,8
52,77,32
8,66,74
36,66,5
92,25,20
13,75,88
83,68,54
87,34,24
37,89,29
19,77,96
28,64,92
67,24,91
79,52,34
68,73,44
22,5,27
70,37,10
89,54,46
29,17,46
50,44,94
53,90,46
70,81,54
77,45,25
49,31,80
3,17,20
48,13,61
19,33,52
93,5,1
93,50,46
12,96,11
13,80,93
79,59,41
16,7,23
32,9,41
76,21,0
33,42,75
80,45,28
30,86,19
53,75,31
50,74,27
13,20,33
58,22,80
56,74,33
57,10,67
42,6,48
21,51,72
64,80,47
60,15,75
17,11,28
61,35,96
84,93,80
76,51,30
7,48,55
53,63,19
42,69,14
62,34,96
68,13,81
2,61,63
22,85,10
94,63,60
59,35,94
35,80,18
85,25,13
47,17,64
22,33,55
49,57,9
71,91,65
64,13,77
27,92,22
38,80,21
32,35,67
0,3,3
46,48,94
17,72,89
6,88,94
34,25,59
96,48,47
3,13,16
62,26,88
33,6,39
72,3,75
77,30,10
51,52,6
67,18,85
39,43,82
58,52,13
11,94,8
59,68,30
10,39,49
59,24,83
73,20,93
82,57,42
66,10,76
23,76,2
56,71,30
55,49,7
48,57,8
26,68,94
25,27,52
41,58,2
93,25,21
92,57,52
63,27,90
71,65,39
28,42,70
22,77,2
65,88,56
96,78,77
49,8,57
73,80,56
93,31,27
12,68,80
10,2,12
52,5,57
24,51,75
24,49,73
77,24,4
1,86,87
23,39,62
13,60,73
85,3,88
7,8,15
47,37,84
20,32,52
48,0,48
51,88,42
60,56,19
67,84,54
81,96,80
72,45,20
76,58,37
32,78,13
19,28,47
23,33,56
31,28,59
72,92,67
75,20,95
57,54,14
42,38,80
61,53,17
75,70,48
43,61,7
23,61,84
81,18,2
25,63,88
77,32,12
63,15,78
78,84,65
71,85,59
16,78,94
8,52,60
52,57,12
34,48,82
40,9,49
43,73,19
32,48,80
83,85,71
85,9,94
44,89,36
85,88,76
81,69,53
67,6,73
86,28,17
7,23,30
92,41,36
71,31,5
37,73,13
88,36,27
45,50,95
38,92,33
78,93,74
14,57,71
19,40,59
41,34,75
45,79,27
23,96,22
56,4,60
91,74,68
69,69,41
92,94,89
58,32,90
68,70,41
16,31,47
21,93,17
52,7,59
5,20,25
71,84,58
63,58,24
3,53,56
86,57,46
64,72,39
30,6,36
50,48,1
22,75,0
88,40,31
10,31,41
10,49,59
83,3,86
77,51,31
44,17,61
75,10,85
29,44,73
50,96,49
53,22,75
9,33,42
61,48,12
66,62,31
60,61,24
71,77,51
22,17,39
89,81,73
52,24,76
78,44,25
9,17,26
9,74,83
88,31,22
57,20,77
60,18,78
36,53,89
73,59,35
7,52,59
76,13,89
95,8,6
79,49,31
40,54,94
7,4,11
51,11,62
50,71,24
32,22,54
93,93,89
8,17,25
82,13,95
40,43,83
33,1,34
93,72,68
25,77,5
80,3,83
70,19,89
63,82,48
57,6,63
63,8,71
74,33,10
92,58,53
48,31,79
44,58,5
4,4,8
74,40,17
26,72,1
81,4,85
70,7,77
48,47,95
5,88,93
83,61,47
63,74,40
43,42,85
36,26,62
42,24,66
4,25,29
24,4,28
63,46,12
68,28,96
86,67,56
18,7,25
16,70,86
82,73,58
86,86,75
81,28,12
70,96,69
15,49,64
11,84,95
41,42,83
3,86,89
51,20,71
52,49,4
44,93,40
25,52,77
36,76,15
71,14,85
62,7,69
45,64,12
95,54,52
50,33,83
96,87,86
29,0,29
12,16,28
30,62,92
9,39,48
92,35,30
81,50,34
61,87,51
19,94,16
76,75,54
43,17,60
25,42,67
34,68,5
82,27,12
26,56,82
78,16,94
81,68,52
17,10,27
23,24,47
19,95,17
3,67,70
21,82,6
36,7,43
69,14,83
47,28,75
95,62,60
15,0,15
42,34,76
95,34,32
52,56,11
31,48,79
86,62,51
18,4,22
78,1,79
71,95,69
7,40,47
87,91,81
84,21,8
90,93,86
43,19,62
17,86,6
25,21,46
23,77,3
44,21,65
14,80,94
72,96,71
91,53,47
80,69,52
14,88,5
13,51,64
74,36,13
77,39,19
69,94,66
94,18,15
95,9,7
61,93,57
76,3,79
88,84,75
61,66,30
47,71,21
33,49,82
52,90,45
42,3,45
25,83,11
49,35,84
64,2,66
2,42,44
51,63,17
82,90,75
1,66,67
16,60,76
28,58,86
6,89,95
32,18,50
82,5,87
54,66,23
57,46,6
0,77,77
36,75,14
95,32,30
67,74,44
61,51,15
84,57,44
28,56,84
16,29,45
34,94,31
13,35,48
3,33,36
10,53,63
13,48,61
84,8,92
76,2,78
11,16,27
28,51,79
51,9,60
65,72,40
73,7,80
91,11,5
65,2,67
47,77,27
35,86,24
88,2,90
44,68,15
0,95,95
69,81,53
55,50,8
4,56,60
22,68,90
65,8,73
91,23,17
72,63,38
81,40,24
55,70,28
64,84,51
21,55,76
43,12,55
90,36,29
8,37,45
43,86,32
91,17,11
11,70,81
73,8,81
21,7,28
17,32,49
73,77,53
75,47,25
51,7,58
94,57,54
79,29,11
31,10,41
42,53,95
70,86,59
74,7,81
3,1,4
11,63,74
90,15,8
55,7,62
40,41,81
4,87,91
60,1,61
87,33,23
95,92,90
45,80,28
75,16,91
65,40,8
74,62,39
44,73,20
96,23,22
62,46,11
63,18,81
60,22,82
46,60,9
75,7,82
72,90,65
72,7,79
10,29,39
35,50,85
40,78,21
14,0,14
0,83,83
81,44,28
92,24,19
58,14,72
63,63,29
30,45,75
80,29,12
55,45,3
93,89,85
28,19,47
64,95,62
8,25,33
85,17,5
88,65,56
37,81,21
57,22,79
57,75,35
27,72,2
60,54,17
13,63,76
14,1,15
82,11,93
36,44,80
77,68,48
80,62,45
42,35,77
6,22,28
18,3,21
84,64,51
40,22,62
82,30,15
91,64,58
65,28,93
56,38,94
84,85,72
54,82,39
34,18,52
72,85,60
81,60,44
70,50,23
74,48,25
34,33,67
73,12,85
1,0,1
65,70,38
25,89,17
44,29,73
87,46,36
14,54,68
5,71,76
48,70,21
3,19,22
12,61,73
43,27,70
42,21,63
16,61,77
88,90,81
35,84,22
42,90,35
54,17,71
80,35,18
19,72,91
59,10,69
51,10,61
55,84,42
7,62,69
63,51,17
35,32,67
9,14,23
8,56,64
56,78,37
27,83,13
36,62,1
41,81,25
31,87,21
39,83,25
14,83,0
28,70,1
32,19,51
25,81,9
23,19,42
17,93,13
62,61,26
87,77,67
64,79,46
7,93,3
28,89,20
60,51,14
59,79,41
66,12,78
74,88,65
22,53,75
93,49,45
48,95,46
64,83,50
79,28,10
77,75,55
42,70,15
64,33,0
71,52,26
24,71,95
94,25,22
29,30,59
15,25,40
95,72,70
80,80,63
80,0,80
39,71,13
18,17,35
47,22,69
42,92,37
36,36,72
82,48,33
80,88,71
75,95,73
36,74,13
7,87,94
68,48,19
74,39,16
75,56,34
23,31,54
20,67,87
42,95,40
58,66,27
95,86,84
68,1,69
66,86,55
15,83,1
93,67,63
75,65,43
41,95,39
32,20,52
2,1,3
60,55,18
15,15,30
15,6,21
71,16,87
6,93,2
12,25,37
41,73,17
86,35,24
44,5,49
48,2,50
23,74,0
29,27,56
82,65,50
12,76,88
91,22,16
6,6,12
83,46,32
77,25,5
57,7,64
7,83,90
39,92,34
45,42,87
60,93,56
58,29,87
78,82,63
49,75,27
9,28,37
24,21,45
34,26,60
8,1,9
47,5,52
15,8,23
17,82,2
66,92,61
35,1,36
74,16,90
30,32,62
39,6,45
69,27,96
12,83,95
74,21,95
47,51,1
52,10,62
44,61,8
95,93,91
59,25,84
93,95,91
31,20,51
3,94,0
54,43,0
77,90,70
15,22,37
13,49,62
93,32,28
63,35,1
35,23,58
51,43,94
4,96,3
80,25,8
30,55,85
92,49,44
6,58,64
2,63,65
96,64,63
34,22,56
5,96,4
62,83,48
78,86,67
37,96,36
83,43,29
41,55,96
77,57,37
40,64,7
87,5,92
46,29,75
83,53,39
48,1,49
90,7,0
37,60,0
83,90,76
69,51,23
71,56,30
90,64,57
68,33,4
44,15,59
96,14,13
56,17,73
12,82,94
89,41,33
2,80,82
86,6,92
63,16,79
49,48,0
13,89,5
39,8,47
45,33,78
9,81,90
19,12,31
67,0,67
63,90,56
78,87,68
65,13,78
7,0,7
64,61,28
89,58,50
95,81,79
65,26,91
17,61,78
36,52,88
86,84,73
8,40,48
87,78,68
7,44,51
61,29,90
28,2,30
91,94,88
69,0,69
6,37,43
42,7,49
30,23,53
83,12,95
39,38,77
7,75,82
22,93,18
80,55,38
23,10,33
0,7,7
21,45,66
96,61,60
65,42,10
49,95,47
58,33,91
58,25,83
52,31,83
32,70,5
56,70,29
24,41,65
90,90,83
36,40,76
45,52,0
91,83,77
69,89,61
45,69,17
60,62,25
60,91,54
59,9,68
53,88,44
80,8,88
90,16,9
91,56,50
44,2,46
94,1,95
4,48,52
65,59,27
18,75,93
89,94,86
10,67,77
13,82,95
58,38,96
35,52,87
73,23,96
8,30,38
5,51,56
77,61,41
3,6,9
51,94,48
35,38,73
57,12,69
15,54,69
12,12,24
83,31,17
34,93,30
87,42,32
86,50,39
25,20,45
73,13,86
94,73,70
59,47,9
0,20,20
8,35,43
55,28,83
68,25,93
82,26,11
78,75,56
95,16,14
57,74,34
84,95,82
48,50,1
20,82,5
28,35,63
90,77,70
76,11,87
26,11,37
88,72,63
40,83,26
6,79,85
37,68,8
6,2,8
51,69,23
50,88,41
55,21,76
24,0,24
79,4,83
59,73,35
64,14,78
23,0,23
94,94,91
33,20,53
80,34,17
26,39,65
48,73,24
26,50,76
54,53,10
90,47,40
0,79,79
0,94,94
80,68,51
61,13,74
44,28,72
72,95,70
58,39,0
11,85,96
95,60,58
36,32,68
6,27,33
16,67,83
55,67,25
26,91,20
42,44,86
62,6,68
31,12,43
31,62,93
1,52,53
68,62,33
40,6,46
60,69,32
26,40,66
50,67,20
58,5,63
33,93,29
9,85,94
32,89,24
74,2,76
56,11,67
18,0,18
11,42,53
40,94,37
87,6,93
64,34,1
50,92,45
16,77,93
56,56,15
95,12,10
75,42,20
63,43,9
0,86,86
89,24,16
56,29,85
41,85,29
36,10,46
96,73,72
25,5,30
62,48,13
82,42,27
1,62,63
86,12,1
36,64,3
68,32,3
9,66,75
82,76,61
30,19,49
4,47,51
27,53,80
28,11,39
95,20,18
83,47,33
77,37,17
74,34,11
55,41,96
17,67,84
83,30,16
48,58,9
42,37,79
88,14,5
15,50,65
39,20,59
38,53,91
27,79,9
59,5,64
67,91,61
42,88,33
95,55,53
70,31,4
15,43,58
20,95,18
11,24,35
50,13,63
96,79,78
50,37,87
94,41,38
69,55,27
71,82,56
3,28,31
84,3,87
87,70,60
48,75,26
28,68,96
29,57,86
68,51,22
74,52,29
11,10,21
73,42,18
14,19,33
14,90,7
48,7,55
13,68,81
5,56,61
80,87,70
53,48,4
91,57,51
93,62,58
20,46,66
86,80,69
11,53,64
23,94,20
28,16,44
12,24,36
85,6,91
81,52,36
5,50,55
59,29,88
34,88,25
36,28,64
73,95,71
70,42,15
38,60,1
50,55,8
44,87,34
15,16,31
57,84,44
73,79,55
28,43,71
11,64,75
65,55,23
92,61,56
57,78,38
1,71,72
7,71,78
35,69,7
45,12,57
63,73,39
74,27,4
28,60,88
84,51,38
45,70,18
7,16,23
65,96,64
48,76,27
62,39,4
54,5,59
20,34,54
64,75,42
65,30,95
24,48,72
47,78,28
38,63,4
8,96,7
30,10,40
19,73,92
82,10,92
88,30,21
88,75,66
10,28,38
53,78,34
42,72,17
0,48,48
89,92,84
90,84,77
34,27,61
9,10,19
72,74,49
4,55,59
66,21,87
6,56,62
78,14,92
32,34,66
48,41,89
12,22,34
33,44,77
26,67,93
74,86,63
49,19,68
14,20,34
66,19,85
74,51,28
60,44,7
64,3,67
80,1,81
67,65,35
50,82,35
0,0,0
93,85,81
5,79,84
43,67,13
83,23,9
0,73,73
51,15,66
27,38,65
60,27,87
10,30,40
36,87,26
76,16,92
19,47,66
68,82,53
12,37,49
7,24,31
16,36,52
52,93,48
47,29,76
15,88,6
42,10,52
0,31,31
50,75,28
61,49,13
35,65,3
60,68,31
65,5,70
45,95,43
9,16,25
87,27,17
56,22,78
15,26,41
81,6,87
95,66,64
44,32,76
55,36,91
9,91,3
95,52,50
57,67,27
68,6,74
69,50,22
62,62,27
70,16,86
62,89,54
85,7,92
88,49,40
6,32,38
39,81,23
1,4,5
44,16,60
44,91,38
26,87,16
14,46,60
41,7,48
23,60,83
8,0,8
53,82,38
21,0,21
94,56,53
35,89,27
50,47,0
73,34,10
70,24,94
89,75,67
93,2,95
30,39,69
41,59,3
89,46,38
53,46,2
83,71,57
32,15,47
79,73,55
90,32,25
63,41,7
3,49,52
49,93,45
27,76,6
1,78,79
11,65,76
81,54,38
64,58,25
28,18,46
37,45,82
71,44,18
30,47,77
73,3,76
53,86,42
37,3,40
67,29,96
83,78,64
25,76,4
22,29,51
13,1,14
74,80,57
15,17,32
40,23,63
79,11,90
6,14,20
71,81,55
67,95,65
76,4,80
20,49,69
30,0,30
73,67,43
26,80,9
48,38,86
37,44,81
94,87,84
62,32,94
53,12,65
67,4,71
16,76,92
6,96,5
79,31,13
39,30,69
53,79,35
75,44,22
67,90,60
68,5,73
75,3,78
18,76,94
66,16,82
13,62,75
46,73,22
16,37,53
87,89,79
17,18,35
45,44,89
11,57,68
15,85,3
56,16,72
75,67,45
40,75,18
17,75,92
39,23,62
85,13,1
67,31,1
87,82,72
88,32,23
5,93,1
89,27,19
84,34,21
30,91,24
51,28,79
79,57,39
95,28,26
36,35,71
92,45,40
30,65,95
69,35,7
6,91,0
88,96,87
80,4,84
65,34,2
39,88,30
40,88,31
5,75,80
9,75,84
62,12,74
17,5,22
16,0,16
19,81,3
95,17,15
43,54,0
23,49,72
21,28,49
86,8,94
19,80,2
70,80,53
6,95,4
44,33,77
77,58,38
52,55,10
26,7,33
33,28,61
91,72,66
49,96,48
45,37,82
36,19,55
33,69,5
49,11,60
77,44,24
19,15,34
67,69,39
8,88,96
35,22,57
48,17,65
51,51,5
49,43,92
80,56,39
21,66,87
20,35,55
42,54,96
13,61,74
9,82,91
22,16,38
67,51,21
9,4,13
17,8,25
59,41,3
66,67,36
92,42,37
49,68,20
68,42,13
82,52,37
38,95,36
34,4,38
69,59,31
79,0,79
81,9,90
27,60,87
92,4,96
93,86,82
5,73,78
73,87,63
87,73,63
23,20,43
22,96,21
7,67,74
45,45,90
13,79,92
3,24,27
86,9,95
23,32,55
69,92,64
82,64,49
37,46,83
38,33,71
18,81,2
77,94,74
45,0,45
45,47,92
81,31,15
4,16,20
78,9,87
3,95,1
88,83,74
86,29,18
33,22,55
43,14,57
17,95,15
6,36,42
42,48,90
82,51,36
88,57,48
41,20,61
95,0,95
83,1,84
32,57,89
50,9,59
83,8,91
72,84,59
8,93,4
92,92,87
91,67,61
91,2,93
68,22,90
53,16,69
85,21,9
25,18,43
25,60,85
17,88,8
94,19,16
75,17,92
80,84,67
57,29,86
61,25,86
64,21,85
32,67,2
94,91,88
5,59,64
25,33,58
49,90,42
54,79,36
4,19,23
23,13,36
23,68,91
0,11,11
5,94,2
45,19,64
40,1,41
56,82,41
21,84,8
11,34,45
72,75,50
11,59,70
28,87,18
66,24,90
1,24,25
43,36,79
87,71,61
53,85,41
78,45,26
38,13,51
2,60,62
37,78,18
84,73,60
63,44,10
79,40,22
17,13,30
31,92,26
31,47,78
89,21,13
52,88,43
30,73,6
54,52,9
33,63,96
51,60,14
75,4,79
62,67,32
39,85,27
21,47,68
75,88,66
88,13,4
27,33,60
4,5,9
71,93,67
46,13,59
6,54,60
70,58,31
32,41,73
49,10,59
85,2,87
22,63,85
38,51,89
10,20,30
81,12,93
63,19,82
8,76,84
20,78,1
10,8,18
37,20,57
59,26,85
74,5,79
12,71,83
93,84,80
6,61,67
72,91,66
26,30,56
10,79,89
80,50,33
93,83,79
64,85,52
93,80,76
65,32,0
53,59,15
36,27,63
94,23,20
55,80,38
20,45,65
65,66,34
87,96,86
12,29,41
2,86,88
76,92,71
59,2,61
47,92,42
93,90,86
96,85,84
30,20,50
12,86,1
32,74,9
43,93,39
1,74,75
58,17,75
43,53,96
44,50,94
76,73,52
67,14,81
5,61,66
10,66,76
70,47,20
8,70,78
93,8,4
92,13,8
79,19,1
87,23,13
67,15,82
68,61,32
87,2,89
80,9,89
54,31,85
84,88,75
44,13,57
24,28,52
28,15,43
93,0,93
91,69,63
68,2,70
54,92,49
38,10,48
81,22,6
72,50,25
6,23,29
70,30,3
16,47,63
43,75,21
54,14,68
96,76,75
45,77,25
73,1,74
55,74,32
87,7,94
62,54,19
32,55,87
13,77,90
37,70,10
71,49,23
34,87,24
71,80,54
44,46,90
73,38,14
21,4,25
79,47,29
24,45,69
25,43,68
65,14,79
35,8,43
89,86,78
38,49,87
17,51,68
18,58,76
86,17,6
49,55,7
95,37,35
94,28,25
65,60,28
22,26,48
35,4,39
58,76,37
12,30,42
17,68,85
34,38,72
18,47,65
53,3,56
55,66,24
43,25,68
86,36,25
70,20,90
41,39,80
53,13,66
52,44,96
11,83,94
91,85,79
73,45,21
34,24,58
45,26,71
92,15,10
59,72,34
50,76,29
84,49,36
6,19,25
48,3,51
67,42,12
57,26,83
78,64,45
15,18,33
5,33,38
61,95,59
27,58,85
50,0,50
15,1,16
15,79,94
62,74,39
58,90,51
79,26,8
84,71,58
33,56,89
91,26,20
65,78,46
24,90,17
42,26,68
31,75,9
22,35,57
60,66,29
33,91,27
10,35,45
46,21,67
43,4,47
12,3,15
26,4,30
14,85,2
25,6,31
2,7,9
77,3,80
48,46,94
72,32,7
59,54,16
76,15,91
1,51,52
47,24,71
71,46,20
60,48,11
8,21,29
95,7,5
39,56,95
35,35,70
58,77,38
11,14,25
30,15,45
64,62,29
86,19,8
84,87,74
91,59,53
71,48,22
31,61,92
19,91,13
85,72,60
44,25,69
63,71,37
60,8,68
42,89,34
75,6,81
39,84,26
71,92,66
53,9,62
68,86,57
10,65,75
0,62,62
8,46,54
31,21,52
1,67,68
29,71,3
17,53,70
82,43,28
30,74,7
14,43,57
34,13,47
